epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.158,2.84935,5.05515,3.03205,0.69066,0.1488,0.14831,0.05199,2.40887,2.96625,2.57824,0.000551112,0.000551112,0.000551112
2,236.992,2.27077,2.84727,2.33912,0.28084,0.36828,0.26397,0.12228,2.05015,2.38826,2.19884,0.000741542,0.000741542,0.000741542
3,340.432,2.08644,2.49771,2.14562,0.40674,0.39773,0.36945,0.17188,1.94532,2.12557,2.06628,0.000565231,0.000565231,0.000565231
